업체명,위도,경도,url
해동모텔,35.14012607,129.0602694,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
리치모텔,35.1385407,129.0607998,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
영모텔,35.13648271,129.0557433,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
브라운도트 호텔 범일점,35.14027189,129.056931,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
프린스모텔,35.1174461,129.0404349,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
프라임관광호텔,35.13058708,129.0502138,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
브라운도트 호텔 부산진역점,35.12952113,129.048421,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
영빈관모텔,35.12952093,129.0479497,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
본모텔,35.13210928,129.0514041,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
베스트인시티호텔,35.12030724,129.0414928,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
노떼라미아호텔,35.11184173,129.0397668,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
씨앤씨모텔,35.11310246,129.0370603,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
멕시멈호텔,35.11592723,129.0393263,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
마리나레지던스호텔,35.11553521,129.0388643,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
장춘모텔,35.11340772,129.0380368,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
알프스모텔,35.1152711,129.0390936,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
세느모텔,35.11271338,129.0375962,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
테마모텔,35.11913921,129.041251,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
미라벨모텔,35.11366132,129.0384222,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
모나코모텔,35.1126008,129.040072,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
부산역비즈니스호텔,35.11239691,129.0399828,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
팝콘호텔,35.11269459,129.0395025,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
오름 레지던스 호텔,35.1124026,129.0402156,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
대원모텔,35.11663874,129.0379092,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
동일장모텔,35.11546379,129.0378214,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
탑모텔,35.11335134,129.0403744,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
라마다앙코르부산역호텔,35.11430257,129.0403367,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
코인모텔,35.11345391,129.0404196,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
호텔코코,35.11399908,129.0403372,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
아몬드호텔,35.11377512,129.0406566,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
부산뷰호텔,35.11337896,129.0405489,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
퀸모텔,35.1158758,129.0391947,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
까무스모텔,35.11564503,129.0390421,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
더웨이호텔,35.11626509,129.0393245,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
호텔26,35.11667806,129.039755,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
